"ZODIAC","FIVEELEMENTS","MOON","LOAN"
"Scorpio","Water",0,"NO"
"Leo","Fire",0.25,"YES"
"Scorpio","Wood",1,"YES"
"Gemini","Metal",1,"YES"
"Libra","Water",0.5,"YES"
"Gemini","Wood",0.5,"YES"
"Pisces","Earth",0,"NO"
"Virgo","Water",1,"YES"
"Capricorn","Water",0.5,"YES"
"Gemini","Metal",1,"YES"
"Scorpio","Metal",0.5,"YES"
"Leo","Earth",0.25,"NO"
"Capricorn","Metal",0.75,"YES"
"Sagittarius","Fire",0.75,"YES"
"Cancer","Water",0.75,"YES"
"Pisces","Water",0.75,"YES"
"Taurus","Fire",0.5,"YES"
"Virgo","Water",1,"YES"
"Gemini","Wood",0.25,"NO"
"Capricorn","Fire",0.75,"YES"
"Sagittarius","Metal",0.75,"YES"
"Aries","Metal",1,"NO"
"Taurus","Fire",0.75,"YES"
"Taurus","Water",0,"YES"
"Aquarius","Wood",0.75,"YES"
"Capricorn","Metal",0,"YES"
"Aries","Wood",1,"NO"
"Sagittarius","Earth",0.5,"NO"
"Gemini","Water",1,"YES"
"Aries","Water",0.75,"NO"
"Libra","Water",1,"YES"
"Capricorn","Wood",0.75,"YES"
"Sagittarius","Earth",0.5,"YES"
"Libra","Water",0.5,"YES"
"Scorpio","Metal",0.25,"YES"
"Gemini","Earth",0.5,"NO"
"Gemini","Water",0.25,"NO"
"Pisces","Fire",0,"YES"
"Leo","Water",0,"YES"
"Sagittarius","Fire",0.75,"YES"
"Gemini","Wood",1,"YES"
"Pisces","Wood",0.25,"NO"
"Libra","Water",0,"NO"
"Scorpio","Metal",0.5,"NO"
"Aries","Earth",0.75,"NO"
"Taurus","Earth",0.5,"NO"
"Gemini","Metal",0.25,"YES"
"Cancer","Earth",0,"NO"
"Taurus","Metal",0.25,"NO"
"Aquarius","Water",0.75,"YES"
"Aries","Water",0.25,"NO"
"Cancer","Earth",0,"YES"
"Pisces","Wood",0.5,"YES"
"Cancer","Fire",0.5,"YES"
"Gemini","Wood",0.75,"YES"
"Aries","Fire",0.5,"NO"
"Cancer","Water",0.25,"YES"
"Cancer","Water",0.5,"NO"
"Leo","Water",0.25,"NO"
"Leo","Fire",0.75,"YES"
"Scorpio","Fire",0,"YES"
"Aries","Fire",0,"NO"
"Aries","Metal",0.5,"YES"
"Pisces","Wood",0.25,"YES"
"Virgo","Fire",1,"YES"
"Gemini","Wood",0.5,"NO"
"Libra","Metal",0.5,"NO"
"Aries","Fire",0,"NO"
"Sagittarius","Metal",0,"NO"
"Pisces","Earth",0.75,"YES"
"Virgo","Wood",1,"YES"
"Libra","Water",0,"NO"
"Pisces","Fire",0.25,"YES"
"Aquarius","Metal",0,"YES"
"Pisces","Earth",0.75,"YES"
"Leo","Wood",0.75,"YES"
"Libra","Wood",0.75,"YES"
"Pisces","Water",1,"YES"
"Aquarius","Fire",0.25,"YES"
"Taurus","Fire",0.25,"YES"
"Aquarius","Wood",1,"YES"
"Virgo","Wood",0.25,"YES"
"Virgo","Earth",0.25,"NO"
"Sagittarius","Water",0.75,"YES"
"Scorpio","Earth",0.25,"NO"
"Aries","Earth",0.5,"NO"
"Leo","Water",0.75,"YES"
"Scorpio","Water",1,"YES"
"Leo","Wood",0.5,"NO"
"Aquarius","Metal",0.25,"YES"
"Virgo","Metal",1,"YES"
"Gemini","Metal",0,"YES"
"Scorpio","Fire",0,"YES"
"Capricorn","Wood",1,"YES"
"Aries","Wood",1,"NO"
"Virgo","Fire",0.75,"YES"
"Gemini","Water",0.75,"YES"
"Taurus","Metal",1,"YES"
"Virgo","Fire",1,"YES"
"Cancer","Water",0,"YES"
"Aries","Fire",0.75,"NO"
"Virgo","Wood",0.5,"YES"
"Aquarius","Fire",0,"YES"
"Cancer","Wood",1,"YES"
"Virgo","Wood",0.5,"YES"
"Cancer","Wood",0.25,"YES"
"Aries","Earth",0.75,"NO"
"Taurus","Water",0.75,"YES"
"Libra","Water",1,"YES"
"Pisces","Water",0,"YES"
"Aries","Earth",0,"NO"
"Aries","Metal",0.25,"YES"
"Scorpio","Metal",1,"YES"
"Capricorn","Metal",0.5,"NO"
"Pisces","Wood",1,"YES"
"Pisces","Metal",0.25,"NO"
"Gemini","Earth",0.25,"NO"
"Cancer","Fire",1,"YES"
"Taurus","Earth",0,"YES"
"Gemini","Fire",1,"YES"
"Capricorn","Water",0,"NO"
"Pisces","Wood",0.5,"NO"
"Gemini","Fire",0.25,"YES"
"Leo","Wood",0.5,"YES"
"Virgo","Earth",0,"NO"
"Gemini","Fire",0.75,"YES"
"Aquarius","Fire",0.5,"YES"
"Libra","Metal",0.5,"YES"
"Capricorn","Water",0.5,"YES"
"Capricorn","Earth",0,"NO"
"Scorpio","Wood",0,"YES"
"Pisces","Wood",0.25,"YES"
"Aquarius","Water",0,"YES"
"Capricorn","Metal",0.5,"NO"
"Aquarius","Fire",0.75,"YES"
"Aquarius","Wood",0,"YES"
"Leo","Fire",0.25,"YES"
"Cancer","Metal",0.5,"YES"
"Pisces","Earth",0.75,"YES"
"Capricorn","Earth",0,"NO"
"Virgo","Water",0.25,"NO"
"Virgo","Wood",0,"YES"
"Capricorn","Earth",0,"YES"
"Libra","Earth",0.75,"YES"
"Aquarius","Metal",0,"YES"
"Pisces","Fire",0.25,"YES"
"Cancer","Wood",0.25,"YES"
"Virgo","Water",0.5,"YES"
"Sagittarius","Wood",0.5,"NO"
"Leo","Earth",0.5,"NO"
"Cancer","Earth",0.5,"YES"
"Virgo","Wood",1,"YES"
"Capricorn","Fire",0,"YES"
"Capricorn","Metal",0.25,"NO"
"Taurus","Wood",0.75,"YES"
"Leo","Water",1,"YES"
"Virgo","Fire",0,"YES"
"Cancer","Metal",0.75,"YES"
"Virgo","Wood",0,"NO"
"Scorpio","Fire",0,"YES"
"Gemini","Metal",0.5,"YES"
"Taurus","Wood",0.25,"YES"
"Sagittarius","Wood",0.25,"NO"
"Gemini","Fire",0,"YES"
"Aquarius","Earth",1,"YES"
"Cancer","Wood",0.5,"YES"
"Taurus","Water",0.75,"YES"
"Gemini","Metal",1,"YES"
"Aries","Fire",0.75,"NO"
"Aries","Metal",0.75,"NO"
"Sagittarius","Fire",0.5,"YES"
"Gemini","Earth",1,"YES"
"Aquarius","Metal",0.75,"YES"
"Sagittarius","Fire",0,"YES"
