"INCIDENT","PENALTY","VICTIM","LOCATION","COUNTRY","WHEN","MOON_NIGHT_BEFORE","YEAR","RESULT","GOALS"
"headbutt","Not Caught","midfielder","opponent team penalty area","Uruguay",66,"No Moon",1992,"Win",2
"scratch","Not Caught","midfielder","midfield","Uruguay",90,"Full",1992,"Loss",1
"kick in the butt","Red Card","spectator","off field","Uruguay",9,"Half",1992,"Loss",0
"none","None","None","No location","Uruguay",90,"Half",1992,"Loss",3
"finger in the eye","Yellow card","referee","midfield","Uruguay",64,"No Moon",1992,"Draw",1
"scratch","Red Card","journalist","off field","Uruguay",36,"Half",1992,"Loss",2
"bite","Suspended for several games","spectator","off field","Uruguay",48,"Half",1992,"Win",0
"none","None","None","No location","Uruguay",90,"Half",1992,"Draw",1
"headbutt","None","None","opponent team penalty area","Uruguay",64,"Half",1992,"Win",1
"scratch","Not Caught","referee","his team penalty area","Uruguay",49,"Full",1992,"Draw",0
"none","None","None","No location","Uruguay",90,"Full",1992,"Win",2
"spit in the face","yellow card","defender","midfield","Uruguay",34,"Half",1992,"Win",1
"kick in the butt","Suspended for several games","referee","his team penalty area","Uruguay",69,"No Moon",1992,"Win",0
"bite","None","referee","opponent team penalty area","Uruguay",88,"Half",1992,"Win",0
"spit in the face","yellow card","forward","opponent team penalty area","Uruguay",46,"Half",1992,"Loss",0
"bite","None","journalist","off field","Uruguay",80,"No Moon",1992,"Loss",0
"finger in the eye","Suspended for several games","forward","his team penalty area","Uruguay",89,"Full",1992,"Win",1
"spit in the face","yellow card","midfielder","opponent team penalty area","Uruguay",7,"No Moon",1992,"Win",2
"bite","Yellow card","goalkeeper","midfield","Uruguay",51,"Full",1992,"Win",2
"none","None","None","No location","Uruguay",90,"No Moon",1992,"Win",1
"bite","Yellow card","defender","his team penalty area","Uruguay",88,"No Moon",1992,"Loss",4
"scratch","None","goalkeeper","his team penalty area","Uruguay",62,"Half",1992,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1992,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1992,"Win",0
"none","None","None","No location","Uruguay",90,"No Moon",1992,"Draw",0
"bite","Not Caught","forward","opponent team penalty area","Uruguay",89,"Full",1992,"Win",2
"none","None","None","No location","Uruguay",90,"Full",1992,"Loss",3
"none","None","None","No location","Uruguay",90,"Full",1992,"Win",2
"bite","Not Caught","midfielder","his team penalty area","Uruguay",80,"Full",1992,"Win",2
"kick in the butt","Not Caught","spectator","off field","Uruguay",55,"No Moon",1992,"Draw",2
"headbutt","Yellow card","referee","his team penalty area","Uruguay",66,"Full",1992,"Draw",2
"none","None","None","No location","Uruguay",90,"Full",1992,"Draw",2
"scratch","Yellow card","goalkeeper","opponent team penalty area","Uruguay",66,"Half",1992,"Win",0
"none","None","None","No location","Uruguay",90,"Full",1992,"Loss",1
"bite","None","referee","off field","Uruguay",63,"Full",1992,"Win",1
"spit in the face","yellow card","referee","opponent team penalty area","Uruguay",40,"No Moon",1992,"Draw",2
"finger in the eye","Suspended for several games","referee","off field","Uruguay",90,"Half",1992,"Win",0
"scratch","Yellow card","journalist","off field","Uruguay",52,"Half",1992,"Draw",0
"scratch","Red Card","midfielder","midfield","Uruguay",67,"Half",1992,"Win",1
"scratch","Not Caught","spectator","off field","Uruguay",71,"Half",1992,"Win",0
