ID,INCIDENT,PENALTY,VICTIM,LOCATION,COUNTRY,WHEN,MOON_NIGHT_BEFORE,YEAR,RESULT,GOALS
1,not bite,Not Caught,midfielder,opponent team penalty area,Uruguay,66,No Moon,1992,Win,2
2,not bite,Not Caught,midfielder,midfield,Uruguay,90,Full,1992,Loss,1
3,not bite,Red Card,spectator,off field,Uruguay,9,Half,1992,Loss,0
4,not bite,None,None,No location,Uruguay,90,Half,1992,Loss,3
5,not bite,Yellow card,referee,midfield,Uruguay,64,No Moon,1992,Draw,1
6,not bite,Red Card,journalist,off field,Uruguay,36,Half,1992,Loss,2
7,bite,Suspended for several games,spectator,off field,Uruguay,48,Half,1992,Win,0
8,not bite,None,None,No location,Uruguay,90,Half,1992,Draw,1
9,not bite,None,None,opponent team penalty area,Uruguay,64,Half,1992,Win,1
10,not bite,Not Caught,referee,his team penalty area,Uruguay,49,Full,1992,Draw,0
11,not bite,None,None,No location,Uruguay,90,Full,1992,Win,2
12,not bite,yellow card,defender,midfield,Uruguay,34,Half,1992,Win,1
13,not bite,Suspended for several games,referee,his team penalty area,Uruguay,69,No Moon,1992,Win,0
14,bite,None,referee,opponent team penalty area,Uruguay,88,Half,1992,Win,0
15,not bite,yellow card,forward,opponent team penalty area,Uruguay,46,Half,1992,Loss,0
16,bite,None,journalist,off field,Uruguay,80,No Moon,1992,Loss,0
17,not bite,Suspended for several games,forward,his team penalty area,Uruguay,89,Full,1992,Win,1
18,not bite,yellow card,midfielder,opponent team penalty area,Uruguay,7,No Moon,1992,Win,2
19,bite,Yellow card,goalkeeper,midfield,Uruguay,51,Full,1992,Win,2
20,not bite,None,None,No location,Uruguay,90,No Moon,1992,Win,1
21,bite,Yellow card,defender,his team penalty area,Uruguay,88,No Moon,1992,Loss,4
22,not bite,None,goalkeeper,his team penalty area,Uruguay,62,Half,1992,Win,2
23,not bite,None,None,No location,Uruguay,90,Full,1992,Win,0
24,not bite,None,None,No location,Uruguay,90,No Moon,1992,Win,0
25,not bite,None,None,No location,Uruguay,90,No Moon,1992,Draw,0
26,bite,Not Caught,forward,opponent team penalty area,Uruguay,89,Full,1992,Win,2
27,not bite,None,None,No location,Uruguay,90,Full,1992,Loss,3
28,not bite,None,None,No location,Uruguay,90,Full,1992,Win,2
29,bite,Not Caught,midfielder,his team penalty area,Uruguay,80,Full,1992,Win,2
30,not bite,Not Caught,spectator,off field,Uruguay,55,No Moon,1992,Draw,2
31,not bite,Yellow card,referee,his team penalty area,Uruguay,66,Full,1992,Draw,2
32,not bite,None,None,No location,Uruguay,90,Full,1992,Draw,2
33,not bite,Yellow card,goalkeeper,opponent team penalty area,Uruguay,66,Half,1992,Win,0
34,not bite,None,None,No location,Uruguay,90,Full,1992,Loss,1
35,bite,None,referee,off field,Uruguay,63,Full,1992,Win,1
36,not bite,yellow card,referee,opponent team penalty area,Uruguay,40,No Moon,1992,Draw,2
37,not bite,Suspended for several games,referee,off field,Uruguay,90,Half,1992,Win,0
38,not bite,Yellow card,journalist,off field,Uruguay,52,Half,1992,Draw,0
39,not bite,Red Card,midfielder,midfield,Uruguay,67,Half,1992,Win,1
40,not bite,Not Caught,spectator,off field,Uruguay,71,Half,1992,Win,0
41,not bite,Yellow card,defender,his team penalty area,Uruguay,70,Full,1992,Win,2
42,not bite,Not Caught,journalist,off field,Uruguay,29,Half,1992,Win,0
43,not bite,Not Caught,spectator,off field,Uruguay,24,No Moon,1992,Win,2
44,not bite,None,None,No location,Uruguay,90,Full,1992,Loss,2
45,not bite,None,None,opponent team penalty area,Uruguay,62,Full,1992,Win,1
46,not bite,Red Card,journalist,off field,Uruguay,4,Half,1992,Win,1
47,not bite,None,None,No location,Uruguay,90,No Moon,1992,Draw,1
48,bite,Yellow card,midfielder,midfield,Uruguay,83,Full,1992,Win,1
49,not bite,yellow card,journalist,off field,Uruguay,82,Half,1992,Draw,0
50,bite,Suspended for several games,journalist,off field,Uruguay,26,Full,1992,Win,1
51,bite,None,defender,off field,Uruguay,17,Half,1992,Draw,0
52,not bite,None,None,No location,Uruguay,90,Full,1993,Loss,2
53,bite,None,forward,midfield,Uruguay,81,Half,1993,Win,1
54,not bite,None,None,No location,Uruguay,90,Full,1993,Win,1
55,not bite,Suspended for several games,defender,off field,Uruguay,71,Full,1993,Draw,2
56,not bite,None,None,No location,Uruguay,90,Half,1993,Loss,2
57,not bite,yellow card,referee,midfield,Uruguay,72,No Moon,1993,Win,2
58,not bite,Yellow card,midfielder,opponent team penalty area,Uruguay,27,No Moon,1993,Loss,0
59,bite,Not Caught,midfielder,off field,Uruguay,84,No Moon,1993,Loss,2
60,bite,Yellow card,referee,midfield,Uruguay,86,Full,1993,Loss,0
61,bite,Not Caught,midfielder,his team penalty area,Uruguay,26,Half,1993,Win,0
62,bite,Yellow card,forward,off field,Uruguay,73,Half,1993,Draw,3
63,not bite,Not Caught,spectator,off field,Uruguay,50,Half,1993,Draw,2
64,bite,None,referee,off field,Uruguay,81,No Moon,1993,Draw,1
65,not bite,Suspended for several games,goalkeeper,off field,Uruguay,63,Half,1993,Win,2
66,not bite,None,None,No location,Uruguay,90,Half,1993,Win,2
67,not bite,Not Caught,goalkeeper,opponent team penalty area,Uruguay,79,Half,1993,Loss,1
68,not bite,Not Caught,journalist,off field,Uruguay,23,No Moon,1993,Win,0
69,bite,Suspended for several games,goalkeeper,his team penalty area,Uruguay,29,Half,1993,Win,3
70,not bite,Red Card,defender,midfield,Uruguay,57,Full,1993,Win,1
