IDN,AGE,COUNTRY,GENDER,IMMIGRANT,HAPPINESS
73390,38,Cyprus,Male,0,5.67
37692,41,Afghanistan,Male,0,3.03
92065,55,Finland,Male,0,8.55
38549,42,Swaziland,Female,0,5.67
33615,47,Kosovo,Female,0,7.12
73833,54,Yemen,Female,0,6.16
78284,87,Japan,Male,0,7.82
30519,54,Malawi,Male,0,4.70
86688,60,Laos,Female,0,3.87
63978,71,United Arab Emirates,Female,0,8.65
80570,38,Angola,Male,0,4.52
83683,74,Spain,Male,0,7.78
98614,73,Swaziland,Female,0,6.37
91995,65,South Africa,Male,0,6.63
28350,67,Saudi Arabia,Female,0,6.35
72383,61,Iceland,Male,0,7.29
77875,47,Cambodia,Female,0,4.98
12860,85,Uzbekistan,Male,0,6.21
16472,51,Israel,Male,0,7.25
57296,27,Malta,Female,0,4.99
27261,65,Burundi,Male,0,4.50
14842,61,New Zealand,Male,0,6.93
15887,67,Slovenia,Male,0,6.87
29608,79,Netherlands,Male,0,7.29
93959,82,Argentina,Female,0,8.48
70114,63,Czech Republic,Male,1,5.25
70223,50,Guatemala,Male,0,5.40
86809,49,Malaysia,Female,0,7.07
16184,31,Uganda,Female,0,5.13
14139,56,Djibouti,Male,0,4.73
42510,40,Brazil,Male,1,6.27
79848,35,Panama,Female,1,8.82
33878,61,Ukraine,Female,0,4.29
49119,66,Brazil,Female,1,7.96
74628,33,Hong Kong,Male,1,6.04
54265,37,Zimbabwe,Female,0,5.51
73199,88,Saudi Arabia,Female,1,7.12
78789,30,Italy,Male,0,6.31
21449,64,France,Male,0,5.62
80744,46,Mali,Female,0,4.05
57075,57,Austria,Male,0,7.34
69756,33,Russia,Male,0,6.48
53254,61,Greece,Female,0,6.11
71798,32,Jordan,Male,0,6.15
64089,77,Switzerland,Male,0,9.01
76903,79,Armenia,Male,0,4.02
20522,43,France,Male,0,5.23
85010,52,Georgia,Male,0,5.14
23610,85,Turkey,Female,0,5.93
64591,46,Ukraine,Male,0,5.52
86784,41,Angola,Female,0,6.25
